oblast_or_country,pcode,# total population,# female population,# male population,# female younger population (0 - 14 years),# male younger population (0 - 14 years),# total younger population (0 - 14 years),# female older population (60 years and up),# male older population (60 years and up),# total older population (60 years and up),# registered IDPs,# people exposed,# people affected,# people in need,# people in level 1 humanitarian condition,# people in level 2 humanitarian condition,# people in level 3 humanitarian condition,# people in level 4 humanitarian condition,# people in level 5 humanitarian condition,# km² landmass affected,# km² controlled by Ukrainian authorities/forces,# km² controlled by Russian forces,# km² unconfirmed control,# battles,# explosions/remote violence,# violence against civilians,# fatalities,# civilian fatalities,# civilian injuries,# total infrastructure damage,# total access events,# unemployed people,period
Chernivetska,UA73,887392,468777,418615,73482,78391,151873,116988,69688,186676,2392,887392,184000,184000,703392,0,184000,0,0,8095,8095,0,0,0,0,0,0,0,0,0,0,5152,Apr2022
Dnipropetrovska,UA12,3093176,1680750,1412426,226943,240091,467034,503014,265558,768572,71514,3093176,681000,681000,2412176,0,681000,0,0,31910,31910,0,0,1,68,0,18,0,0,39,3,23771,Apr2022
Donetska,UA14,4046487,2207252,1839235,204708,218811,423519,810872,465603,1276475,512237,4046487,2200000,2200000,1846487,0,2200000,0,0,26500,11149,15055,296,137,651,11,558,0,0,483,113,6030,Apr2022
Ivano-Frankivska,UA26,1349096,711226,637870,108676,115708,224384,181690,108256,289946,3833,1349096,280000,280000,1069096,0,280000,0,0,13933,13933,0,0,0,0,0,0,0,0,0,0,7846,Apr2022
Kharkivska,UA63,2583325,1384642,1198683,169358,180505,349863,412784,224680,637464,135556,2583325,1500000,1500000,1083325,0,1500000,0,0,31435,20872,10495,68,71,228,24,368,0,0,580,37,15535,Apr2022
Khersonska,UA65,1000166,535440,464726,76623,81913,158536,153827,84911,238738,14614,1000166,766000,766000,234166,0,766000,0,0,26657,253,25324,1080,37,45,38,285,0,0,91,67,9841,Apr2022
Khmelnytska,UA68,1225666,655503,570163,92902,97681,190583,193654,109045,302699,6580,1225666,257000,257000,968666,0,257000,0,0,20628,20628,0,0,0,6,0,0,0,0,2,0,12095,Apr2022
Kirovohradska,UA35,897297,483025,414272,63954,67838,131792,148637,82051,230688,6558,897297,190000,190000,707297,0,190000,0,0,24578,24578,0,0,0,4,0,3,0,0,2,0,11349,Apr2022
Kyiv,UA80,2910994,1568793,1342201,232566,248470,481036,401501,236765,638266,163491,2910994,1900000,1900000,1010994,0,1900000,0,0,834,834,0,0,0,6,0,3,0,0,93,3,10167,Apr2022
Kyivska,UA32,1789300,969870,819430,153069,163542,316611,253461,137057,390518,66045,1789300,569000,569000,1220300,0,569000,0,0,28132,28132,0,0,6,16,4,10,0,0,150,37,11187,Apr2022
Luhanska,UA44,2098324,1136515,961809,91298,98018,189316,436762,256423,693185,282493,2098324,1500000,1500000,598324,0,1500000,0,0,26688,1163,25354,171,103,216,5,280,0,0,169,166,3947,Apr2022
Lvivska,UA46,2459763,1294772,1164991,192773,203584,396357,343762,206012,549774,11244,2459763,511000,511000,1948763,0,511000,0,0,21824,21824,0,0,0,4,1,7,0,0,6,0,11763,Apr2022
Mykolaivska,UA48,1091106,584957,506149,79731,85170,164901,170974,95197,266171,8316,1091106,471000,471000,620106,0,471000,0,0,24016,23885,119,12,8,45,1,114,0,0,142,32,12072,Apr2022
Odeska,UA51,2340332,1237452,1102880,189998,203812,393810,333832,194370,528202,38602,2340332,483000,483000,1857332,0,483000,0,0,33348,33348,0,0,0,20,0,54,0,0,11,14,12535,Apr2022
